Y,X1,X2
24,3,8
10,10,1
90,9,10
56,7,8
10,10,1
15,5,3
15,3,5
4,1,4
24,6,4
28,7,4
4,2,2
15,3,5
8,4,2
40,10,4
16,8,2
18,3,6
4,2,2
36,6,6
18,9,2
7,7,1
18,2,9
12,6,2
4,2,2
40,5,8
24,3,8
64,8,8
10,2,5
18,9,2
28,4,7
32,8,4
90,10,9
8,2,4
20,10,2
4,2,2
72,8,9
24,4,6
72,9,8
20,4,5
72,8,9
15,3,5
70,10,7
7,7,1
4,4,1
60,6,10
27,3,9
54,6,9
12,4,3
20,2,10
10,1,10
1,1,1
24,4,6
30,10,3
28,7,4
42,6,7
24,3,8
3,1,3
72,9,8
8,4,2
2,2,1
21,7,3
36,9,4
14,2,7
40,4,10
4,4,1
56,7,8
30,6,5
18,9,2
16,4,4
90,10,9
24,4,6
30,10,3
24,4,6
48,6,8
10,1,10
35,5,7
14,2,7
80,8,10
18,3,6
30,5,6
4,1,4
40,8,5
30,6,5
2,2,1
40,4,10
3,3,1
10,1,10
24,8,3
72,9,8
30,5,6
9,9,1
14,7,2
16,2,8
5,5,1
100,10,10
16,4,4
9,3,3
50,10,5
40,10,4
8,1,8
100,10,10
72,9,8
32,4,8
8,1,8
64,8,8
36,6,6
40,4,10
16,4,4
9,3,3
36,9,4
7,1,7
9,3,3
18,2,9
40,8,5
25,5,5
6,2,3
25,5,5
50,10,5
4,2,2
15,3,5
42,7,6
48,8,6
72,9,8
48,6,8
6,6,1
20,2,10
3,3,1
40,8,5
4,1,4
89999,299,301
100170,318,315
177158,313,566
408070,730,559
209163,339,617
75440,820,92
292572,602,486
201040,359,560
122108,686,178
232887,521,447
163098,738,221
366265,527,695
371917,469,793
14144,884,16
74290,95,782
141897,203,699
210,35,6
285912,722,396
1196,46,26
663525,675,983
71208,72,989
129258,501,258
28125,225,125
158852,302,526
256025,931,275
44690,218,205
6356,14,454
662720,760,872
107858,542,199
24612,28,879
312858,573,546
281880,290,972
154504,434,356
192792,232,831
85475,325,263
506422,854,593
424692,846,502
44016,786,56
147150,675,218
118650,525,226
485257,577,841
442085,595,743
86044,98,878
273960,360,761
37073,131,283
106952,922,116
370520,472,785
486174,542,897
289572,818,354
97104,357,272
53892,54,998
484605,605,801
855712,884,968
296240,560,529
15800,395,40
151135,181,835
421316,734,574
1488,31,48
200405,269,745
240064,968,248
163548,708,231
503783,553,911
594174,602,987
26730,27,990
288990,855,338
647666,886,731
872496,996,876
38160,477,80
487936,512,953
196112,824,238
535184,806,664
173750,695,250
197717,871,227
41249,247,167
161980,178,910
48954,123,398
25542,99,258
129920,160,812
50680,70,724
24531,39,629
263840,388,680
63688,76,838
518364,693,748
17400,20,870
333928,623,536
547566,789,694
222084,279,796
448316,886,506
33884,197,172
301224,489,616
94724,199,476
73320,195,376
319218,498,641
644496,696,926
8280,828,10
453112,542,836
123240,948,130
128205,333,385
639297,753,849
465038,826,563
290878,526,553
92150,485,190
131010,794,165
410108,629,652
16402,139,118
185796,397,468
645012,738,874
11088,126,88
164502,494,333
901544,947,952
6760,130,52
692676,852,813
475266,758,627
35947,349,103
874496,896,976
76335,727,105
290160,744,390
485352,963,504
610121,943,647
550232,872,631
383540,508,755
359384,538,668
131104,272,482
42360,60,706
479427,647,741
209907,843,249
221352,802,276
231748,253,916
65824,374,176
154033,209,737
581504,616,944
312075,475,657
109200,975,112
319550,770,415
179088,984,182
451984,689,656
173160,360,481
237070,755,314
55263,327,169
447888,903,496
86970,223,390
111720,133,840
186792,344,543
2816,352,8
53333,401,133
516924,519,996
119327,871,137
11172,114,98
124729,187,667
7252,28,259
71424,768,93
1368,114,12
63838,118,541
177940,287,620
30569,397,77
410670,486,845
157194,369,426
80185,203,395
517978,634,817
247950,475,522
200990,398,505
450684,468,963
146328,546,268
16059,53,303
865450,950,911
377436,852,443
849192,984,863
458035,907,505
4374,9,486
389004,421,924
160392,984,163
408682,466,877
83160,280,297
213108,301,708
826540,884,935
114099,219,521
32970,42,785
179334,243,738
248556,924,269
63210,735,86
135005,403,335
281658,314,897
36192,58,624
444388,826,538
114218,598,191
54340,55,988
239800,550,436
908184,948,958
23976,666,36
2664,72,37
11560,680,17
551457,639,863
166860,927,180
272250,375,726
132048,393,336
28400,71,400
251101,293,857
835289,959,871
233415,513,455
58055,683,85
211364,997,212
76518,117,654
794195,823,965
412090,490,841
80142,222,361
349842,879,398
94308,116,813
562440,654,860
119658,294,407
298584,754,396
379904,512,742
146566,406,361
30628,494,62
70200,702,100
371000,371,1000
86730,177,490
301842,738,409
460275,969,475
746505,939,795
493948,644,767
65688,276,238
382800,638,600
258240,960,269
391716,837,468
82650,190,435
120428,238,506
533577,627,851
199975,475,421
213614,254,841
163212,203,804
48741,633,77
388912,872,446
48856,788,62
524510,590,889
70378,77,914
113184,432,262
134995,551,245
31713,93,341
252540,915,276
63246,127,498
14632,31,472
332682,534,623
460872,692,666
285069,501,569
215670,273,790
95795,161,595
158025,525,301
85143,303,281
333118,863,386
45756,82,558
158946,354,449
211380,813,260
297,3,99
78192,543,144
448056,504,889
50424,88,573
1790,5,358
177132,348,509
28628,842,34
117012,147,796
579544,917,632
13020,651,20
1232,176,7
348172,451,772
330429,341,969
207936,456,456
448459,649,691
180480,192,940
200718,354,567
1455,97,15
472446,673,702
78588,148,531
658482,726,907
285980,905,316
18018,77,234
677758,971,698
90560,283,320
60680,164,370
368256,672,548
504896,736,686
18180,606,30
239800,275,872
248653,437,569
5719,43,133
256351,389,659
32208,33,976
525976,946,556
312823,469,667
433832,889,488
51903,73,711
220800,480,460
530656,644,824
372405,407,915
128,16,8
90090,715,126
288933,703,411
243936,726,336
707336,743,952
41776,746,56
94866,163,582
6594,157,42
627732,636,987
941738,959,982
87074,197,442
45696,896,51
2760,690,4
323868,548,591
3795,69,55
777784,817,952
594776,602,988
356044,668,533
346320,720,481
42876,54,794
2464,28,88
39707,673,59
3276,12,273
730848,993,736
433251,819,529
12213,207,59
440944,496,889
128040,330,388
51204,102,502
38226,138,277
210304,992,212
374595,565,663
11720,293,40
449469,837,537
24850,70,355
96030,990,97
